rel_path,class_name,split,phash
cardboard/cardboard1.jpg,cardboard,train,d5aa2f5490ffba00
cardboard/cardboard10.jpg,cardboard,val,e626655919daa726
cardboard/cardboard100.jpg,cardboard,train,f1cf2518e4b2994e
cardboard/cardboard101.jpg,cardboard,train,b3646d99c9538867
cardboard/cardboard102.jpg,cardboard,train,c2c92fc23e69966c
cardboard/cardboard103.jpg,cardboard,train,b26c6ccccdcccc8c
cardboard/cardboard104.jpg,cardboard,val,cd924bc73cc3c564
cardboard/cardboard105.jpg,cardboard,train,d96b2ac7dec23881
cardboard/cardboard106.jpg,cardboard,test,c6b9b959fc464306
cardboard/cardboard107.jpg,cardboard,test,d2a28d9b8dd993c4
cardboard/cardboard108.jpg,cardboard,train,cb81fd497b32103d
cardboard/cardboard109.jpg,cardboard,train,f8c187c1cfd8988e
cardboard/cardboard11.jpg,cardboard,val,d922e955212adbd5
cardboard/cardboard110.jpg,cardboard,train,ff7b2a741f410942
cardboard/cardboard111.jpg,cardboard,train,e1764eae42930f95
cardboard/cardboard112.jpg,cardboard,train,caf5c61839a7c6d0
cardboard/cardboard113.jpg,cardboard,test,dd2baad6d425294a
cardboard/cardboard114.jpg,cardboard,train,a2b51319d9c9cdd4
cardboard/cardboard115.jpg,cardboard,train,efc7c274260ed4d0
cardboard/cardboard116.jpg,cardboard,train,aa6d952bd61d32c4
cardboard/cardboard117.jpg,cardboard,train,c0979f522e6a94d9
cardboard/cardboard118.jpg,cardboard,train,950a2b4d2f8f6e85
cardboard/cardboard119.jpg,cardboard,train,82d42d33ed3aa572
cardboard/cardboard12.jpg,cardboard,train,ce6b74acd11b0c93
cardboard/cardboard120.jpg,cardboard,train,dba4d1712c2a97d4
cardboard/cardboard121.jpg,cardboard,train,f42a79d0b96b4919
cardboard/cardboard122.jpg,cardboard,train,bb604083775b939b
cardboard/cardboard123.jpg,cardboard,test,da0429da959df263
cardboard/cardboard124.jpg,cardboard,val,8f87bf7f808e0960
cardboard/cardboard125.jpg,cardboard,test,f93e1e878f832449
cardboard/cardboard126.jpg,cardboard,train,f1a69c4e8bcccc98
cardboard/cardboard127.jpg,cardboard,val,80b3a09f7b80679f
cardboard/cardboard128.jpg,cardboard,test,ac2dc942c83bcf93
cardboard/cardboard129.jpg,cardboard,val,f62a7add8565c092
cardboard/cardboard13.jpg,cardboard,train,d6e4db99234c66b0
cardboard/cardboard130.jpg,cardboard,train,eb6ad468c1b69499
cardboard/cardboard131.jpg,cardboard,train,e24c96399ad39966
cardboard/cardboard132.jpg,cardboard,train,f064cf933c6c7162
cardboard/cardboard133.jpg,cardboard,train,f466cb990c3933c6
cardboard/cardboard134.jpg,cardboard,train,b02ccfd14ccf3a1c
cardboard/cardboard135.jpg,cardboard,val,b1c32713ce321dce
cardboard/cardboard136.jpg,cardboard,train,f330cdcf264c3331
cardboard/cardboard137.jpg,cardboard,test,f031cfce3031cbb2
cardboard/cardboard138.jpg,cardboard,train,ad3bf192d09ec0c3
cardboard/cardboard139.jpg,cardboard,test,f76dd65c21ca2622
cardboard/cardboard14.jpg,cardboard,train,99e38c33c6c96798
cardboard/cardboard140.jpg,cardboard,val,b420c03e0fc3fccf
cardboard/cardboard141.jpg,cardboard,train,c41f1b18c771c67a
cardboard/cardboard142.jpg,cardboard,test,ecf6c3c1181e65f0
cardboard/cardboard143.jpg,cardboard,train,f0d8cccce663c199
cardboard/cardboard144.jpg,cardboard,val,fb96cc493236a3c4
cardboard/cardboard145.jpg,cardboard,train,f1989bcccc334731
cardboard/cardboard146.jpg,cardboard,train,ed83d0e3921edb30
cardboard/cardboard147.jpg,cardboard,train,e5bc963cce1ac107
cardboard/cardboard148.jpg,cardboard,test,eaa7e49e9809b32c
cardboard/cardboard149.jpg,cardboard,train,bf0dd1de8949ce04
cardboard/cardboard15.jpg,cardboard,val,a2a6b556d29a8b55
cardboard/cardboard150.jpg,cardboard,train,e19a4671d96692cd
cardboard/cardboard151.jpg,cardboard,test,f6f999c624292393
cardboard/cardboard152.jpg,cardboard,train,e7d99c666968948c
cardboard/cardboard153.jpg,cardboard,val,f1cc99b6cc199332
cardboard/cardboard154.jpg,cardboard,train,f4cdcb929f312033
cardboard/cardboard155.jpg,cardboard,test,e631aa459acdc8cd
cardboard/cardboard156.jpg,cardboard,train,c8cab2bcafb18c85
cardboard/cardboard157.jpg,cardboard,val,dcc3973ca1c1ac3c
cardboard/cardboard158.jpg,cardboard,val,bfbf9f404223b281
cardboard/cardboard159.jpg,cardboard,train,aad52ad25452c5f5
cardboard/cardboard16.jpg,cardboard,val,a4b55a8b916c749b
cardboard/cardboard160.jpg,cardboard,train,8787c7474feca1a0
cardboard/cardboard161.jpg,cardboard,val,d2d0affcd16b8091
cardboard/cardboard162.jpg,cardboard,test,af92cd669141a4de
cardboard/cardboard163.jpg,cardboard,test,b39dc6e20e0db278
cardboard/cardboard164.jpg,cardboard,train,f8635e96844d6595
cardboard/cardboard165.jpg,cardboard,train,ab31b291399ade4c
cardboard/cardboard166.jpg,cardboard,train,b994db261cfb300e
cardboard/cardboard167.jpg,cardboard,train,e8d6d718946bc0f2
cardboard/cardboard168.jpg,cardboard,test,ea1e9585f0c03e6e
cardboard/cardboard169.jpg,cardboard,train,fc83c33c3cf2c1c4
cardboard/cardboard17.jpg,cardboard,train,f18686b28babca5a
cardboard/cardboard170.jpg,cardboard,train,f498cb67319e2319
cardboard/cardboard171.jpg,cardboard,train,e5929a6d6192cc6d
cardboard/cardboard172.jpg,cardboard,val,f09cc76393c57826
cardboard/cardboard173.jpg,cardboard,train,f992ce6532191d36
cardboard/cardboard174.jpg,cardboard,train,bea0c794dad8d258
cardboard/cardboard175.jpg,cardboard,test,ef36f068f02ef0c0
cardboard/cardboard176.jpg,cardboard,test,eacdc131d409cee9
cardboard/cardboard177.jpg,cardboard,train,ed01c07ed57e8dc0
cardboard/cardboard178.jpg,cardboard,train,a584f36df27c8324
cardboard/cardboard179.jpg,cardboard,val,edc8d0d292939397
cardboard/cardboard18.jpg,cardboard,train,9e50e3a5b4dae628
cardboard/cardboard180.jpg,cardboard,train,bf81cd92c8d492ec
cardboard/cardboard181.jpg,cardboard,train,8c7293cdc7e1b0e1
cardboard/cardboard182.jpg,cardboard,test,dab4add6843c38c9
cardboard/cardboard183.jpg,cardboard,test,f73ac8b95ba30216
cardboard/cardboard184.jpg,cardboard,train,efc1c09a962f2de0
cardboard/cardboard185.jpg,cardboard,train,d2cd2d32859a32cf
cardboard/cardboard186.jpg,cardboard,test,ff90841fc04bc3e5
cardboard/cardboard187.jpg,cardboard,train,ff9ec06cc7f24801
cardboard/cardboard188.jpg,cardboard,train,fd9cc0c8c2d8c39b
cardboard/cardboard189.jpg,cardboard,train,bf36b0fed931c040
cardboard/cardboard19.jpg,cardboard,train,f7cca1d14aa4746a
cardboard/cardboard190.jpg,cardboard,train,ee82f8c1c694951f
cardboard/cardboard191.jpg,cardboard,test,fba187869546785a
cardboard/cardboard192.jpg,cardboard,train,d2fd8d5106c62373
cardboard/cardboard193.jpg,cardboard,train,afcad025d33495d2
cardboard/cardboard194.jpg,cardboard,test,ef8f8084a5f0f07a
cardboard/cardboard195.jpg,cardboard,val,f8cd91689697cc92
cardboard/cardboard196.jpg,cardboard,train,f8bc8caf883a9057
cardboard/cardboard197.jpg,cardboard,test,bf9ec8e41239f80c
cardboard/cardboard198.jpg,cardboard,train,ee1be0f0dcf11485
cardboard/cardboard199.jpg,cardboard,train,eb2ad4ed34d2c894
cardboard/cardboard2.jpg,cardboard,train,d2a4b55b09f94da4
cardboard/cardboard20.jpg,cardboard,train,e552596d55a252ad
cardboard/cardboard200.jpg,cardboard,test,ffbac281c0740f47
cardboard/cardboard201.jpg,cardboard,train,fcc5c034c93a368f
cardboard/cardboard202.jpg,cardboard,train,f18cc7c59c8cc933
cardboard/cardboard203.jpg,cardboard,val,e48b9bc696b48d32
cardboard/cardboard204.jpg,cardboard,val,bd879e6ec16198c2
cardboard/cardboard205.jpg,cardboard,train,b4c0ca3dc7926dc6
cardboard/cardboard206.jpg,cardboard,train,edd86b04cb07c07b
cardboard/cardboard207.jpg,cardboard,val,ea7ac03fc03bd00f
cardboard/cardboard208.jpg,cardboard,train,fce0811f83f03f07
cardboard/cardboard209.jpg,cardboard,train,ea80d4d5dd85903f
cardboard/cardboard21.jpg,cardboard,train,d0d397208972b4f7
